,regression,classification
0,-0.0002549126327743053,0
1,0.002552330707048922,1
2,0.0009636920020116321,1
3,0.0004053799423802027,1
4,-0.0016185323099751976,0
5,0.0027333799450746593,1
6,0.0025507777275586186,1
7,-0.006942497676903169,0
8,-0.0020233384478941054,0
9,0.0013687850333462942,1
10,0.0017405408189904803,1
11,0.005445250578912424,1
12,0.0031145648863582917,1
13,-0.0012841718787529352,0
14,0.0074073112903399576,1
15,-0.04094268597226928,0
16,0.008227269648095586,1
17,0.011385836127599192,1
18,0.032065209167245645,1
19,-0.00992221095012555,0
20,-0.013521102612297681,0
21,0.0239185754637081,1
22,-0.011896178280020158,0
23,-0.008785912491680592,0
24,-0.004549961838510803,0
25,0.001341904592245492,1
26,0.012269727822682718,1
27,0.005534995101763571,1
28,-0.00685947595447154,0
29,-0.0002514395508784263,0
30,0.005272078119222652,1
31,0.009130163751030979,1
32,0.0053676838946391265,1
33,-0.018764538261134583,0
34,0.0008382585145905704,1
35,-0.02136988373067895,0
36,0.004702712729589681,1
37,0.008090155985867858,1
38,0.004572350843948396,1
39,-0.00518315721407394,0
40,-0.006177057271160282,0
41,0.0,0
42,-0.01917098129511177,0
43,0.00857987974522912,1
44,-0.007298326746899509,0
45,0.0,0
46,-0.00046159697067420984,0
47,0.039763948940797954,1
48,0.0,0
49,-0.0050242755943317435,0
50,0.0060271071461172505,1
51,-0.021675251334960927,0
52,-0.0012837472772451294,0
53,0.003981195284172426,1
54,0.001980506273043387,1
55,0.000827514091456446,1
56,0.010811649028433751,1
57,0.03002387253115216,1
58,-0.004062268512194568,0
59,0.013146799407229029,1
60,-0.03922723303321837,0
61,-0.0008470445851291882,0
62,-0.0022059285462769766,0
63,0.02022777359228477,1
64,0.0007605674227737385,1
65,0.024855477018483767,1
66,0.005476094204510039,1
67,0.0011943705526570824,1
68,0.0,0
69,-0.008689912734669389,0
70,-0.010485287252566767,0
71,6.412156214587162e-05,1
72,-0.04450387047153886,0
73,-0.010151499651369748,0
74,-0.0076417315853006375,0
75,0.025761370229649458,1
76,0.002468712887114514,1
77,0.0011173004914900638,1
78,-0.01760815766352231,0
79,-0.002395533960853953,0
80,-0.0012319079766318903,0
81,0.005947263174821793,1
82,0.012535574588341664,1
83,-0.0005148446676649042,0
84,-0.0014224094774073935,0
85,0.0007296837183741315,1
86,-0.00037312040344704065,0
87,-0.006049069867004206,0
88,-0.002638877379703568,0
89,0.0012707358071637706,1
90,-0.05415424579817612,0
91,-0.006600991966042652,0
92,-0.014357407600438564,0
93,3.401900475878899e-05,1
94,0.005763209232063708,1
95,0.07311784517544982,1
96,0.004712756697747954,1
97,0.0,0
98,7.778097912234554e-05,1
99,0.0023048773898903386,1
100,-0.0094060689892714,0
101,-0.011519134817833608,0
102,0.010873768090079337,1
103,0.004627287783741005,1
104,0.017883894731581994,1
105,0.00030197912427840627,1
106,0.003664183070757384,1
107,0.0056109770460442965,1
108,-0.0036085117203549836,0
109,-0.01489762050034441,0
110,-0.019052960293451705,0
111,-0.004137778511028419,0
112,-0.0071665048445232055,0
113,0.015805210061295177,1
114,0.006535352300344014,1
115,-0.0013942553246081301,0
116,-0.0010795924271270031,0
117,-0.010129536652838705,0
118,-0.003491561028163418,0
119,0.03143894946867195,1
120,0.026014565588005998,1
121,0.013577250510432686,1
122,-0.011979750468407647,0
123,0.007926781296301215,1
124,-0.0078774915848643,0
125,0.0,0
126,-0.0003451191245555962,0
127,0.001703834814537546,1
128,0.0025409895107495156,1
129,0.0031677461764641705,1
130,0.023880876750333388,1
131,0.0005501623748832086,1
132,0.0,0
133,-0.028828632438478045,0
134,0.0,0
